company,location,country,industry,date,year,month,total_laid_off,percentage_laid_off,has_count,city,is_estimated
FrontRow,Bengaluru,India,Education,2022-10-12,2022.0,2022-10,130.0,0.75,True,Bengaluru,False
WazirX,Mumbai,India,Crypto,2022-10-02,2022.0,2022-10,60.0,0.4,True,Mumbai,False
Ola,Bengaluru,India,Transportation,2022-09-19,2022.0,2022-09,200.0,,True,Bengaluru,False
Clear,Bengaluru,India,Finance,2022-09-16,2022.0,2022-09,190.0,0.2,True,Bengaluru,False
Lido Learning,Mumbai,India,Education,2022-09-09,2022.0,2022-09,483.0,1.0,False,Mumbai,True
Rupeek,Bengaluru,India,Finance,2022-09-07,2022.0,2022-09,50.0,,True,Bengaluru,False
Koo,Bengaluru,India,Consumer,2022-08-31,2022.0,2022-08,40.0,,True,Bengaluru,False
Meesho,Bengaluru,India,Retail,2022-08-29,2022.0,2022-08,300.0,,True,Bengaluru,False
ShopX,Bengaluru,India,Retail,2022-08-02,2022.0,2022-08,2.0,1.0,True,Bengaluru,False
LEAD,Mumbai,India,Education,2022-08-04,2022.0,2022-08,80.0,0.04,True,Mumbai,False
CarDekho,Gurugram,India,Transportation,2022-08-03,2022.0,2022-08,200.0,,False,Gurugram,True
Vedantu,Bengaluru,India,Education,2022-08-02,2022.0,2022-08,100.0,,True,Bengaluru,False
DeHaat,Gurugram,India,Food,2022-08-01,2022.0,2022-08,175.0,,False,Gurugram,True
Ola,Bengaluru,India,Transportation,2022-07-29,2022.0,2022-07,1000.0,,True,Bengaluru,False
Bikayi,Bengaluru,India,Retail,2022-07-08,2022.0,2022-07,2.0,,True,Bengaluru,False
Bright Money,Bengaluru,India,Finance,2022-07-15,2022.0,2022-07,100.0,0.5,True,Bengaluru,False
Fraazo,Mumbai,India,Food,2022-07-12,2022.0,2022-07,150.0,,True,Mumbai,False
Crejo.Fun,Bengaluru,India,Education,2022-06-30,2022.0,2022-06,170.0,1.0,True,Bengaluru,False
Toppr,Mumbai,India,Education,2022-06-29,2022.0,2022-06,350.0,,True,Mumbai,False
Oye Rickshaw,New Delhi,India,Transportation,2022-06-29,2022.0,2022-06,40.0,0.2,True,New Delhi,False
WhiteHat Jr,Mumbai,India,Education,2022-06-28,2022.0,2022-06,300.0,,True,Mumbai,False
Nova Benefits,Bengaluru,India,Healthcare,2022-06-08,2022.0,2022-06,2.0,0.3,True,Bengaluru,False
Udaan,Bengaluru,India,Retail,2022-06-27,2022.0,2022-06,180.0,0.04,True,Bengaluru,False
SuperLearn,Bengaluru,India,Education,2022-06-01,2022.0,2022-06,2.0,1.0,True,Bengaluru,False
Aqgromalin,Chennai,India,Food,2022-06-20,2022.0,2022-06,80.0,0.3,True,Chennai,False
CityMall,Gurugram,India,Retail,2022-06-19,2022.0,2022-06,191.0,0.3,True,Gurugram,False
Unacademy,Bengaluru,India,Education,2022-06-18,2022.0,2022-06,150.0,0.03,True,Bengaluru,False
PharmEasy,Mumbai,India,Healthcare,2022-06-16,2022.0,2022-06,40.0,,True,Mumbai,False
Breathe,New Delhi,India,Healthcare,2022-06-14,2022.0,2022-06,50.0,0.33,True,New Delhi,False
FarEye,New Delhi,India,Logistics,2022-06-10,2022.0,2022-06,250.0,0.3,True,New Delhi,False
Rupeek,Bengaluru,India,Finance,2022-06-07,2022.0,2022-06,180.0,0.15,True,Bengaluru,False
Eruditus,Mumbai,India,Education,2022-06-04,2022.0,2022-06,40.0,,True,Mumbai,False
Yojak,Gurugram,India,Construction,2022-06-02,2022.0,2022-06,140.0,0.5,True,Gurugram,False
Udayy,Gurugram,India,Education,2022-06-01,2022.0,2022-06,100.0,1.0,True,Gurugram,False
Mobile Premier,Bengaluru,India,Consumer,2022-05-30,2022.0,2022-05,100.0,0.1,True,Bengaluru,False
FrontRow,Bengaluru,India,Education,2022-05-27,2022.0,2022-05,145.0,0.3,True,Bengaluru,False
Daloopa,New Delhi,India,Data,2022-05-27,2022.0,2022-05,40.0,,True,New Delhi,False
MFine,Bengaluru,India,Healthcare,2022-05-21,2022.0,2022-05,600.0,0.75,True,Bengaluru,False
Cars24,Gurugram,India,Transportation,2022-05-19,2022.0,2022-05,600.0,0.06,True,Gurugram,False
Vedantu,Bengaluru,India,Education,2022-05-18,2022.0,2022-05,424.0,0.07,True,Bengaluru,False
Vedantu,Bengaluru,India,Education,2022-05-05,2022.0,2022-05,200.0,0.03,True,Bengaluru,False
Meesho,Bengaluru,India,Retail,2022-04-11,2022.0,2022-04,150.0,,True,Bengaluru,False
Unacademy,Bengaluru,India,Education,2022-04-07,2022.0,2022-04,1000.0,0.17,True,Bengaluru,False
Sea,Bengaluru,India,Retail,2022-03-30,2022.0,2022-03,350.0,,True,Bengaluru,False
Furlenco,Bengaluru,India,Retail,2022-03-26,2022.0,2022-03,180.0,,True,Bengaluru,False
Trell,Bengaluru,India,Retail,2022-03-15,2022.0,2022-03,300.0,0.5,True,Bengaluru,False
OKCredit,New Delhi,India,Finance,2022-02-24,2022.0,2022-02,30.0,,True,New Delhi,False
Lido,Mumbai,India,Education,2022-02-21,2022.0,2022-02,150.0,,True,Mumbai,False
Protonn,Bengaluru,India,Other,,,,2.0,1.0,True,Bengaluru,False
Pagarbook,Bengaluru,India,HR,2021-07-26,2021.0,2021-07,80.0,,True,Bengaluru,False
Ninjacart,Bengaluru,India,Food,2021-02-23,2021.0,2021-02,200.0,,True,Bengaluru,False
Bounce,Bengaluru,India,Transportation,2021-02-22,2021.0,2021-02,200.0,0.4,True,Bengaluru,False
Bytedance,Mumbai,India,Consumer,2021-01-27,2021.0,2021-01,1800.0,,True,Mumbai,False
WhiteHat Jr,Mumbai,India,Education,2021-01-06,2021.0,2021-01,1800.0,,True,Mumbai,False
OYO,Gurugram,India,Travel,2020-12-08,2020.0,2020-12,600.0,,True,Gurugram,False
OLX India,New Delhi,India,Marketing,2020-10-10,2020.0,2020-10,250.0,,True,New Delhi,False
MakeMyTrip,New Delhi,India,Travel,2020-08-31,2020.0,2020-08,350.0,0.1,True,New Delhi,False
Swiggy,Bengaluru,India,Food,2020-07-27,2020.0,2020-07,350.0,0.05,True,Bengaluru,False
Curefit,Bengaluru,India,Fitness,2020-07-17,2020.0,2020-07,120.0,,True,Bengaluru,False
Bizongo,Mumbai,India,Logistics,2020-07-10,2020.0,2020-07,140.0,,True,Mumbai,False
PaySense,Mumbai,India,Finance,2020-07-09,2020.0,2020-07,40.0,,True,Mumbai,False
Bounce,Bengaluru,India,Transportation,2020-06-29,2020.0,2020-06,130.0,0.22,True,Bengaluru,False
Navi,Bengaluru,India,Finance,2020-06-17,2020.0,2020-06,40.0,0.25,True,Bengaluru,False
PaisaBazaar,Gurugram,India,Finance,2020-06-16,2020.0,2020-06,1500.0,0.5,True,Gurugram,False
MakeMyTrip,Gurugram,India,Travel,2020-06-01,2020.0,2020-06,350.0,0.1,True,Gurugram,False
BookMyShow,Mumbai,India,Consumer,2020-05-28,2020.0,2020-05,270.0,0.18,True,Mumbai,False
Uber,Bengaluru,India,Transportation,2020-05-26,2020.0,2020-05,600.0,0.23,True,Bengaluru,False
CarDekho,Gurugram,India,Transportation,2020-05-25,2020.0,2020-05,200.0,,True,Gurugram,False
PickYourTrail,Chennai,India,Travel,2020-05-21,2020.0,2020-05,70.0,0.35,True,Chennai,False
Ola,Bengaluru,India,Transportation,2020-05-20,2020.0,2020-05,1400.0,0.35,True,Bengaluru,False
ShareChat,Bengaluru,India,Marketing,2020-05-20,2020.0,2020-05,101.0,0.25,True,Bengaluru,False
Livspace,Bengaluru,India,Retail,2020-05-19,2020.0,2020-05,450.0,0.15,True,Bengaluru,False
Swiggy,Bengaluru,India,Food,2020-05-18,2020.0,2020-05,1100.0,0.14,True,Bengaluru,False
WeWork,New Delhi,India,Real Estate,2020-05-18,2020.0,2020-05,100.0,0.2,True,New Delhi,False
Magicbricks,Noida,India,Real Estate,2020-05-17,2020.0,2020-05,250.0,,True,Noida,False
Zomato,Gurugram,India,Food,2020-05-15,2020.0,2020-05,520.0,0.13,True,Gurugram,False
Lendingkart,Ahmedabad,India,Finance,2020-05-15,2020.0,2020-05,500.0,0.5,True,Ahmedabad,False
Curefit,Bengaluru,India,Fitness,2020-05-04,2020.0,2020-05,800.0,0.16,True,Bengaluru,False
Flynote,Bengaluru,India,Travel,2020-05-01,2020.0,2020-05,300.0,,False,Bengaluru,True
